product_id,product_name,product_category,product_price
1,Google Pixel 9,Smartphones,94500.00
2,Google Pixel 9 XL,Smartphones,104500.00
3,Google Pixel 9 Pro,Smartphones,114500.00
4,Google Pixel 9 Pro Max,Smartphones,124500.00
5,LG 4K Ultra HD Smart TV,Televisions,149500.00
6,Panasonic 4K Ultra HD Smart TV,Televisions,159500.00
7,Samsung Galaxy S24, Smartphones,-100000.00
8,Samsung Galaxy S25Ultra, Smartphones,320000.00
9,Samsung Galaxy S24Plus, Smartphones,-150000.00
10,Samsung Galaxy S24Plus, Smartphones
